kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Aabenraa,Mellemtrin,2024/2025,6.6,3.667767767767767
Aabenraa,Udskoling,2024/2025,7.7,3.5241999999999996
Aalborg,Mellemtrin,2024/2025,8.9,3.71875
Aalborg,Udskoling,2024/2025,9.9,3.5734999999999997
Aarhus,Mellemtrin,2024/2025,6.4,3.733033033033033
Aarhus,Udskoling,2024/2025,6.9,3.5875500000000007
Albertslund,Mellemtrin,2024/2025,7.8,3.6505994005994005
Albertslund,Udskoling,2024/2025,8.2,3.5106499999999987
Allerød,Mellemtrin,2024/2025,7.8,3.7781781781781785
Allerød,Udskoling,2024/2025,8.2,3.6696999999999997
Assens,Mellemtrin,2024/2025,8.3,3.643943943943944
Assens,Udskoling,2024/2025,10.7,3.5754999999999995
Ballerup,Mellemtrin,2024/2025,8.5,3.6937499999999996
Ballerup,Udskoling,2024/2025,10.0,3.5924499999999995
Billund,Mellemtrin,2024/2025,7.8,3.5994500000000005
Billund,Udskoling,2024/2025,9.9,3.41023976023976
Bornholm,Mellemtrin,2024/2025,10.5,3.5183500000000003
Bornholm,Udskoling,2024/2025,10.2,3.5498001998001993
Brøndby,Mellemtrin,2024/2025,9.2,3.6247499999999997
Brøndby,Udskoling,2024/2025,8.4,3.49825
Brønderslev,Mellemtrin,2024/2025,7.0,3.75
Brønderslev,Udskoling,2024/2025,8.0,3.5731500000000005
Dragør,Mellemtrin,2024/2025,9.3,3.812537462537463
Dragør,Udskoling,2024/2025,10.5,3.6090000000000004
Egedal,Mellemtrin,2024/2025,8.1,3.5254
Egedal,Udskoling,2024/2025,9.3,3.5246
Esbjerg,Mellemtrin,2024/2025,7.7,3.6986999999999997
Esbjerg,Udskoling,2024/2025,9.9,3.5896
Faaborg-Midtfyn,Mellemtrin,2024/2025,7.2,3.6018999999999997
Faaborg-Midtfyn,Udskoling,2024/2025,9.6,3.4596096096096094
Fanø,Mellemtrin,2024/2025,9.3,3.6209999999999996
Fanø,Udskoling,2024/2025,11.4,3.64245
Favrskov,Mellemtrin,2024/2025,8.2,3.6869
Favrskov,Udskoling,2024/2025,9.9,3.5607392607392603
Faxe,Mellemtrin,2024/2025,9.2,3.4334000000000002
Faxe,Udskoling,2024/2025,10.1,3.4173673673673677
Fredensborg,Mellemtrin,2024/2025,7.7,3.7176
Fredensborg,Udskoling,2024/2025,8.2,3.5923999999999996
Fredericia,Mellemtrin,2024/2025,8.0,3.6349349349349347
Fredericia,Udskoling,2024/2025,8.9,3.50455
Frederiksberg,Mellemtrin,2024/2025,7.1,3.6890390390390393
Frederiksberg,Udskoling,2024/2025,8.5,3.60465
Frederikshavn,Mellemtrin,2024/2025,8.0,3.6756999999999995
Frederikshavn,Udskoling,2024/2025,9.4,3.57075
Frederikssund,Mellemtrin,2024/2025,8.8,3.6478999999999995
Frederikssund,Udskoling,2024/2025,10.8,3.5373999999999994
Furesø,Mellemtrin,2024/2025,7.9,3.7708499999999994
Furesø,Udskoling,2024/2025,8.5,3.6858000000000004
Gentofte,Mellemtrin,2024/2025,7.5,3.7777
Gentofte,Udskoling,2024/2025,8.1,3.634515484515484
Gladsaxe,Mellemtrin,2024/2025,7.1,3.7078499999999996
Gladsaxe,Udskoling,2024/2025,8.3,3.6397000000000004
Glostrup,Mellemtrin,2024/2025,7.7,3.6147
Glostrup,Udskoling,2024/2025,8.7,3.46455
Greve,Mellemtrin,2024/2025,9.0,3.6228228228228225
Greve,Udskoling,2024/2025,9.5,3.5548048048048044
Gribskov,Mellemtrin,2024/2025,11.1,3.6014999999999997
Gribskov,Udskoling,2024/2025,11.9,3.43525
Guldborgsund,Mellemtrin,2024/2025,8.0,3.63765
Guldborgsund,Udskoling,2024/2025,8.2,3.51145
Haderslev,Mellemtrin,2024/2025,7.1,3.7519019019019013
Haderslev,Udskoling,2024/2025,10.6,3.48635
Halsnæs,Mellemtrin,2024/2025,8.6,3.6206499999999995
Halsnæs,Udskoling,2024/2025,11.0,3.3914
