kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Aabenraa,Mellemtrin,2019/2020,3.9,3.798601398601398
Aabenraa,Mellemtrin,2020/2021,4.1,3.81085
Aabenraa,Mellemtrin,2021/2022,7.2,3.7715284715284723
Aabenraa,Mellemtrin,2022/2023,6.2,3.6656999999999993
Aabenraa,Mellemtrin,2023/2024,6.3,3.6485499999999997
Aabenraa,Mellemtrin,2024/2025,6.6,3.667767767767767
Aabenraa,Udskoling,2019/2020,5.1,3.6488488488488486
Aabenraa,Udskoling,2020/2021,5.5,3.6264235764235764
Aabenraa,Udskoling,2021/2022,8.0,3.61085
Aabenraa,Udskoling,2022/2023,6.8,3.5776
Aabenraa,Udskoling,2023/2024,7.5,3.522477522477522
Aabenraa,Udskoling,2024/2025,7.7,3.5241999999999996
Aalborg,Mellemtrin,2019/2020,5.1,3.8087999999999993
Aalborg,Mellemtrin,2020/2021,4.9,3.785135135135135
Aalborg,Mellemtrin,2021/2022,8.6,3.7497499999999997
Aalborg,Mellemtrin,2022/2023,8.3,3.710699999999999
Aalborg,Mellemtrin,2023/2024,8.7,3.667699999999999
Aalborg,Mellemtrin,2024/2025,8.9,3.71875
Aalborg,Udskoling,2019/2020,6.2,3.73961038961039
Aalborg,Udskoling,2020/2021,6.1,3.7086999999999994
Aalborg,Udskoling,2021/2022,9.6,3.66275
Aalborg,Udskoling,2022/2023,9.5,3.6207499999999997
Aalborg,Udskoling,2023/2024,9.7,3.6035000000000004
Aalborg,Udskoling,2024/2025,9.9,3.5734999999999997
Aarhus,Mellemtrin,2019/2020,4.4,3.80585
Aarhus,Mellemtrin,2020/2021,4.5,3.760960960960961
Aarhus,Mellemtrin,2021/2022,7.0,3.732467532467533
Aarhus,Mellemtrin,2022/2023,6.1,3.6917500000000003
Aarhus,Mellemtrin,2023/2024,6.4,3.66675
Aarhus,Mellemtrin,2024/2025,6.4,3.733033033033033
Aarhus,Udskoling,2019/2020,5.6,3.7590090090090085
Aarhus,Udskoling,2020/2021,4.3,3.7368
Aarhus,Udskoling,2021/2022,6.8,3.6616999999999997
Aarhus,Udskoling,2022/2023,6.1,3.6176999999999997
Aarhus,Udskoling,2023/2024,7.0,3.575624375624375
Aarhus,Udskoling,2024/2025,6.9,3.5875500000000007
Albertslund,Mellemtrin,2019/2020,6.0,3.7237499999999994
Albertslund,Mellemtrin,2020/2021,6.6,3.7387612387612386
Albertslund,Mellemtrin,2021/2022,9.1,3.6516499999999996
Albertslund,Mellemtrin,2022/2023,7.9,3.60775
Albertslund,Mellemtrin,2023/2024,7.7,3.5954954954954954
Albertslund,Mellemtrin,2024/2025,7.8,3.6505994005994005
Albertslund,Udskoling,2019/2020,6.8,3.6196499999999996
Albertslund,Udskoling,2020/2021,7.6,3.634749999999999
Albertslund,Udskoling,2021/2022,9.3,3.622
Albertslund,Udskoling,2022/2023,7.6,3.59645
Albertslund,Udskoling,2023/2024,9.1,3.5815500000000005
Albertslund,Udskoling,2024/2025,8.2,3.5106499999999987
Allerød,Mellemtrin,2019/2020,4.3,3.817682317682318
Allerød,Mellemtrin,2020/2021,4.7,3.80885
Allerød,Mellemtrin,2021/2022,8.1,3.7758
Allerød,Mellemtrin,2022/2023,6.3,3.692707292707292
Allerød,Mellemtrin,2023/2024,7.2,3.75285
Allerød,Mellemtrin,2024/2025,7.8,3.7781781781781785
Allerød,Udskoling,2019/2020,4.0,3.86063936063936
Allerød,Udskoling,2020/2021,3.9,3.8019499999999997
Allerød,Udskoling,2021/2022,5.8,3.7971971971971974
Allerød,Udskoling,2022/2023,6.4,3.674574574574575
Allerød,Udskoling,2023/2024,6.3,3.6828
Allerød,Udskoling,2024/2025,8.2,3.6696999999999997
Assens,Mellemtrin,2019/2020,5.3,3.7836163836163834
Assens,Mellemtrin,2020/2021,5.5,3.7147
Assens,Mellemtrin,2021/2022,8.6,3.726473526473526
Assens,Mellemtrin,2022/2023,7.5,3.6697499999999996
Assens,Mellemtrin,2023/2024,7.8,3.6139639639639634
Assens,Mellemtrin,2024/2025,8.3,3.643943943943944
Assens,Udskoling,2019/2020,5.8,3.6916499999999997
Assens,Udskoling,2020/2021,8.3,3.714664664664664
Assens,Udskoling,2021/2022,11.7,3.657792207792207
Assens,Udskoling,2022/2023,9.4,3.55155
Assens,Udskoling,2023/2024,9.1,3.5206999999999997
Assens,Udskoling,2024/2025,10.7,3.5754999999999995
Ballerup,Mellemtrin,2019/2020,5.3,3.7704795204795207
Ballerup,Mellemtrin,2020/2021,5.8,3.7838000000000007
Ballerup,Mellemtrin,2021/2022,8.8,3.7419919919919917
Ballerup,Mellemtrin,2022/2023,8.0,3.70385
Ballerup,Mellemtrin,2023/2024,8.1,3.66675
Ballerup,Mellemtrin,2024/2025,8.5,3.6937499999999996
Ballerup,Udskoling,2019/2020,4.1,3.68275
Ballerup,Udskoling,2020/2021,5.1,3.6323676323676324
Ballerup,Udskoling,2021/2022,7.5,3.6326
Ballerup,Udskoling,2022/2023,9.2,3.5816
Ballerup,Udskoling,2023/2024,9.5,3.5997
Ballerup,Udskoling,2024/2025,10.0,3.5924499999999995
Billund,Mellemtrin,2019/2020,4.9,3.8008499999999996
Billund,Mellemtrin,2020/2021,4.8,3.7478000000000002
Billund,Mellemtrin,2021/2022,8.5,3.6768499999999995
Billund,Mellemtrin,2022/2023,7.1,3.5976523476523474
Billund,Mellemtrin,2023/2024,6.5,3.47935
Billund,Mellemtrin,2024/2025,7.8,3.5994500000000005
Billund,Udskoling,2019/2020,5.8,3.70595
Billund,Udskoling,2020/2021,5.7,3.6866999999999996
Billund,Udskoling,2021/2022,9.7,3.631618381618381
Billund,Udskoling,2022/2023,8.5,3.5516983016983015
Billund,Udskoling,2023/2024,7.9,3.4156499999999994
Billund,Udskoling,2024/2025,9.9,3.41023976023976
Bornholm,Mellemtrin,2019/2020,7.2,3.6566
Bornholm,Mellemtrin,2020/2021,7.0,3.6574499999999994
Bornholm,Mellemtrin,2021/2022,10.3,3.68385
Bornholm,Mellemtrin,2022/2023,9.1,3.60085
Bornholm,Mellemtrin,2023/2024,8.9,3.5926000000000005
Bornholm,Mellemtrin,2024/2025,10.5,3.5183500000000003
Bornholm,Udskoling,2019/2020,7.7,3.6579
Bornholm,Udskoling,2020/2021,7.3,3.6213999999999995
Bornholm,Udskoling,2021/2022,11.5,3.5908908908908903
Bornholm,Udskoling,2022/2023,9.8,3.56255
Bornholm,Udskoling,2023/2024,10.8,3.529679679679679
Bornholm,Udskoling,2024/2025,10.2,3.5498001998001993
Brøndby,Mellemtrin,2019/2020,6.7,3.7228499999999998
Brøndby,Mellemtrin,2020/2021,7.0,3.7089589589589584
Brøndby,Mellemtrin,2021/2022,9.9,3.6947499999999995
Brøndby,Mellemtrin,2022/2023,8.1,3.6287999999999996
Brøndby,Mellemtrin,2023/2024,8.7,3.6217999999999995
Brøndby,Mellemtrin,2024/2025,9.2,3.6247499999999997
Brøndby,Udskoling,2019/2020,6.9,3.65565
Brøndby,Udskoling,2020/2021,6.8,3.6746
Brøndby,Udskoling,2021/2022,9.9,3.5778
Brøndby,Udskoling,2022/2023,9.1,3.5283999999999995
Brøndby,Udskoling,2023/2024,10.0,3.4593000000000003
Brøndby,Udskoling,2024/2025,8.4,3.49825
Brønderslev,Mellemtrin,2019/2020,4.8,3.8575924075924077
Brønderslev,Mellemtrin,2020/2021,4.2,3.7648999999999995
Brønderslev,Mellemtrin,2021/2022,8.4,3.7697499999999997
Brønderslev,Mellemtrin,2022/2023,7.9,3.7408000000000006
Brønderslev,Mellemtrin,2023/2024,8.3,3.67765
Brønderslev,Mellemtrin,2024/2025,7.0,3.75
Brønderslev,Udskoling,2019/2020,5.3,3.702952952952953
Brønderslev,Udskoling,2020/2021,5.2,3.6850350350350354
Brønderslev,Udskoling,2021/2022,9.1,3.6907907907907904
Brønderslev,Udskoling,2022/2023,8.5,3.6248999999999993
Brønderslev,Udskoling,2023/2024,8.9,3.6017999999999994
Brønderslev,Udskoling,2024/2025,8.0,3.5731500000000005
Dragør,Mellemtrin,2019/2020,7.2,3.813436563436564
Dragør,Mellemtrin,2020/2021,5.9,3.8229999999999995
Dragør,Mellemtrin,2021/2022,10.1,3.7248
Dragør,Mellemtrin,2022/2023,8.6,3.7498999999999993
