kommune,klassetrin,foraeldre_uddannelsesniveau
Aabenraa,Indskoling,4.9406641262928686
Aabenraa,Mellemtrin,4.83753709198813
Aabenraa,Udskoling,4.88046875
Aalborg,Indskoling,5.571569040595589
Aalborg,Mellemtrin,5.5036809815950924
Aalborg,Udskoling,5.462927554705757
Aarhus,Indskoling,5.884510750329092
Aarhus,Mellemtrin,5.758372579801152
Aarhus,Udskoling,5.644218181818182
Albertslund,Indskoling,5.061013443640124
Albertslund,Mellemtrin,5.038781163434903
Albertslund,Udskoling,4.8135095447870775
Allerød,Indskoling,6.129032258064516
Allerød,Mellemtrin,5.979746835443038
Allerød,Udskoling,6.0188916876574305
Assens,Indskoling,5.0340189873417724
Assens,Mellemtrin,4.937106918238993
Assens,Udskoling,4.904395604395605
Ballerup,Indskoling,5.366803278688525
Ballerup,Mellemtrin,5.358974358974359
Ballerup,Udskoling,5.27991452991453
Billund,Indskoling,4.947719688542826
Billund,Mellemtrin,4.829787234042553
Billund,Udskoling,4.855753646677472
Bornholm,Indskoling,4.98443579766537
Bornholm,Mellemtrin,4.885981308411215
Bornholm,Udskoling,4.886617100371748
Brøndby,Indskoling,4.890666666666666
Brøndby,Mellemtrin,4.777915632754342
Brøndby,Udskoling,4.813432835820896
Brønderslev,Indskoling,5.206360424028269
Brønderslev,Mellemtrin,5.118662351672061
Brønderslev,Udskoling,5.10178970917226
Dragør,Indskoling,5.933933933933934
Dragør,Mellemtrin,5.937751004016064
Dragør,Udskoling,5.802056555269923
Egedal,Indskoling,5.654997463216641
Egedal,Mellemtrin,5.566640685892439
Egedal,Udskoling,5.449503311258278
Esbjerg,Indskoling,5.248493975903615
Esbjerg,Mellemtrin,5.153521126760563
Esbjerg,Udskoling,5.157462686567164
Faaborg-Midtfyn,Indskoling,5.089922480620155
Faaborg-Midtfyn,Mellemtrin,4.985324947589098
Faaborg-Midtfyn,Udskoling,4.924664602683179
Fanø,Indskoling,5.714285714285714
Fanø,Mellemtrin,5.96875
Fanø,Udskoling,5.868852459016393
Favrskov,Indskoling,5.673996175908222
Favrskov,Mellemtrin,5.5322687957418495
Favrskov,Udskoling,5.467620995228357
Faxe,Indskoling,4.72
Faxe,Mellemtrin,4.701513067400275
